custom_id,original_label,original_prediction,claim_extraction_gpt-5-nano_prediction,claim_extraction_gpt-5_prediction,claim_normalization_gpt-5-nano_prediction,claim_normalization_gpt-5_prediction,original_text
faketweetbr_test_10,true,fake,fake,fake,fake,fake,"O decreto 9.745/2019, citado como fonte, apenas estabelece a “regulação profissional” entre as 37 áreas de competência do @MinEconomia , ou seja, não acaba com a obrigatoriedade do exame. Em nota, a OAB reiterou que a informação é falsa. Confira em: http:// bit.ly/2XGqzfW . pic.twitter.com/sLORfVRHHo"
faketweetbr_test_11,fake,fake,fake,fake,fake,fake,Presidente Bolsonaro extinguiu obrigatoriedade de prova da OAB ou filiação para exercer a função. Excelente decreto .
faketweetbr_test_12,true,fake,fake,fake,fake,fake,"É falsa a informação de que o governo editou um decreto que acaba com a obrigatoriedade da inscrição nos quadros da OAB para o exercício da advocacia, bem como a necessidade de realização do Exame de Ordem para tal registro. https://www. oab.org.br/noticia/57148/ e-falsa-a-noticia-sobre-decreto-que-acaba-com-necessidade-de-inscricao-na-oab-para-exercicio-da-advocacia?utm_source=4590&utm_medium=email&utm_campaign=OAB_Informa …"
faketweetbr_test_13,fake,fake,fake,fake,fake,fake,"O DECRETO QUE ACABOU COM A OBRIGATORIEDADE DE ESTAR INSCRITO NOS CONSELHOS PROFISSIONAIS - OAB , CRM, CREA, CRP, CRF, ETC. DECRETO Nº 9.745, DE 8 DE ABRIL DE 2019 Art. 1º O Ministério da Economia, órgão da administração pública federal direta, tem como… https:// lnkd.in/ezV3uvZ"
faketweetbr_test_14,fake,fake,fake,fake,fake,fake,Taxi em Movimento: Vídeo: Navio da MSC joga sacos de lixo no mar próx... http:// taxiemmovimento.blogspot.com/2014/01/video- navio-da-msc-joga-sacos-de-lixo.html?spref=tw …
faketweetbr_test_15,fake,fake,fake,fake,fake,fake,"Flagra: Navio da MSC (Mediterranean Shipping Cruises), que partiu da Itália rumo ao Brasil, descarta seu lixo no mar http:// bit.ly/19FaEED"
faketweetbr_test_16,fake,fake,fake,fake,fake,fake,Coisa feia!!! Vídeo mostra navio MSC jogando lixo na Costa Brasileira #VexameMSC http://www. ilfattoquotidiano.it/2014/01/05/tv- in-brasile-litaliana-msc-crociere-getta-rifiuti-davanti-alle-nostre-coste/832103/ …
faketweetbr_test_17,true,true,fake,fake,fake,fake,"O pintor Gustave Freipont teria previsto o incêndio da Catedral de Notre-Dame de Paris em sua pintura de 1942? NÃO SE ENGANE, pois a imagem é de OUTRA CATEDRAL! Entenda: https://www. boatos.org/entretenimento /gustave-fraipoint-freipoint-premonicao-incendio.html … pic.twitter.com/5bnbWHjISr"
faketweetbr_test_18,true,fake,fake,fake,fake,fake,"Chegou aqui a pergunta sobre a pintura de um tal Gustave Fraipont, prevendo em 1924 o incêndio na Catedral de Paris. Tá tudo errado, porque não é Notre Dame de Paris (é Notre Dame de Reims) e não é premonição, pois registra um incêndio que aconteceu na Primeira Guerra Mundial. pic.twitter.com/sSfHqQQe6L"
faketweetbr_test_19,fake,fake,fake,fake,fake,fake,"Essa pintura de Gustave Freipont, de 1924, se chama  Premonicion "". Não é incrível ? em Catedral De Notre Dame París Francia https://www. instagram.com/p/BwYUwHlnO3b/ ?utm_source=ig_twitter_share&igshid=n7kmvpnqfyq4 …"""
